"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"250";"NO: not eligible: other";0,170134039953062;0,192986679311848;0,376016308703808;0,435956639285424;1538;0,804621907092928;6;0;0
"251";"NO: Other";0,183081696632104;0,213518671288351;0,38896396538285;0,456488631261927;1538;0,60535100938715;25;0;0
"252";"NO: Progress Party (FRP)";0,134757095896237;0,140465987215951;0,340639364646984;0,383435947189526;1538;0,278539896212504;121;1;0
"253";"NO: Refusal";0,181726332290191;0,200798598801099;0,387608601040938;0,443768558774675;1538;0,603409688035528;27;0;0
"254";"NO: Socialist Left Party (SV)";0,180953895128154;0,222442908110095;0,386836163878901;0,46541286808367;1538;0,231531988869319;61;0;1
"255";"PL: Civic Platform";0,160821051965875;0,186396269398429;0,303673601818512;0,345574781596587;1589;0,152271778795045;266;0;0
"256";"PL: did not vote";0,141913494048796;0,161668834897671;0,284766043901433;0,320847347095828;1589;0,147651581328945;386;0;0
"257";"PL: Don't know";0,134960007590877;0,149996362258628;0,277812557443514;0,309174874456785;1589;0,102741895196175;46;0;0
"258";"PL: KORWIN";0,141951443328092;0,158581633854595;0,284803993180729;0,317760146052752;1589;0,1909225940582;38;1;0
"259";"PL: Kukiz'15";0,127794833722251;0,149364725876772;0,270647383574888;0,30854323807493;1589;0,117785172188671;107;1;0
"260";"PL: Law and Justice";0,151602490514138;0,169715405472096;0,294455040366775;0,328893917670254;1589;0,166523810745035;436;0;0
"261";"PL: Modern Poland";0,185606955075681;0,215611404444824;0,328459504928318;0,374789916642982;1589;0,280552477174149;54;0;0
"262";"PL: not eligible: age";0,140779452072788;0,161780601195426;0,283632001925425;0,320959113393584;1589;0,114550890381577;86;0;0
"263";"PL: not eligible: other";0,157581282178609;0,185453987169178;0,300433832031246;0,344632499367335;1589;NA;1;0;0
"264";"PL: Other";0,157211092411274;0,182779068332059;0,300063642263911;0,341957580530217;1589;-0,5;3;0;0
"265";"PL: Polish Peasants' Party";0,13371613554306;0,152245157111317;0,276568685395697;0,311423669309475;1589;0,0417277135972184;39;0;0
"266";"PL: Refusal";0,140186486371657;0,161543734372793;0,283039036224294;0,32072224657095;1589;0,110217277484349;62;0;0
"267";"PL: Together Party";0,158451421176777;0,193858422741897;0,301303971029414;0,353036934940055;1589;-0,0957164339827116;12;0;0
"268";"PL: United Left";0,193603474541071;0,214918830217465;0,336456024393708;0,374097342415623;1589;0,349236168568491;53;0;0
